spliced	intron	gene_name
ENSMUSG00000029502.15	ENSMUSG00000029502.15-I	Golga3
ENSMUSG00000104720.2	ENSMUSG00000104720.2-I	Gm43138
ENSMUSG00000029501.15	ENSMUSG00000029501.15-I	Ankle2
ENSMUSG00000087439.2	ENSMUSG00000087439.2-I	Gm15788
ENSMUSG00000007080.15	ENSMUSG00000007080.15-I	Pole
ENSMUSG00000087722.3	ENSMUSG00000087722.3-I	Gm26277
ENSMUSG00000081256.2	ENSMUSG00000081256.2-I	Gm15791
ENSMUSG00000072754.10	ENSMUSG00000072754.10-I	Lrcol1
ENSMUSG00000105482.2	ENSMUSG00000105482.2-I	Gm42596
ENSMUSG00000048215.15	ENSMUSG00000048215.15-I	A630023P12Rik
ENSMUSG00000033316.15	ENSMUSG00000033316.15-I	Galnt9
ENSMUSG00000029504.6	ENSMUSG00000029504.6-I	Ddx51
ENSMUSG00000105161.2	ENSMUSG00000105161.2-I	Gm42595
ENSMUSG00000118827.1	ENSMUSG00000118827.1-I	AC161348.1
ENSMUSG00000086401.2	ENSMUSG00000086401.2-I	Gm15559
ENSMUSG00000029521.8	ENSMUSG00000029521.8-I	Chek2
ENSMUSG00000104602.2	ENSMUSG00000104602.2-I	Gm42779
ENSMUSG00000033209.18	ENSMUSG00000033209.18-I	Ttc28
ENSMUSG00000081104.2	ENSMUSG00000081104.2-I	Gm15989
ENSMUSG00000105112.2	ENSMUSG00000105112.2-I	Gm42778
ENSMUSG00000076163.3	ENSMUSG00000076163.3-I	Mir701
ENSMUSG00000105890.2	ENSMUSG00000105890.2-I	Gm42780
ENSMUSG00000106153.2	ENSMUSG00000106153.2-I	Gm43677
ENSMUSG00000105027.2	ENSMUSG00000105027.2-I	Gm43676
ENSMUSG00000050017.12	ENSMUSG00000050017.12-I	Pitpnb
ENSMUSG00000070576.5	ENSMUSG00000070576.5-I	Mn1
ENSMUSG00000106560.2	ENSMUSG00000106560.2-I	Gm43119
ENSMUSG00000052848.8	ENSMUSG00000052848.8-I	C130026L21Rik
ENSMUSG00000104833.2	ENSMUSG00000104833.2-I	Gm42489
ENSMUSG00000096949.2	ENSMUSG00000096949.2-I	Gm26897
ENSMUSG00000085919.2	ENSMUSG00000085919.2-I	Gm16019
ENSMUSG00000105376.5	ENSMUSG00000105376.5-I	Gm36535
ENSMUSG00000104538.2	ENSMUSG00000104538.2-I	1700016B01Rik
ENSMUSG00000101683.7	ENSMUSG00000101683.7-I	1700028D13Rik
ENSMUSG00000097986.3	ENSMUSG00000097986.3-I	Gm26953
ENSMUSG00000029343.18	ENSMUSG00000029343.18-I	Crybb1
ENSMUSG00000029344.16	ENSMUSG00000029344.16-I	Tpst2
ENSMUSG00000029345.14	ENSMUSG00000029345.14-I	Tfip11
ENSMUSG00000042328.14	ENSMUSG00000042328.14-I	Hps4
ENSMUSG00000105368.2	ENSMUSG00000105368.2-I	Gm43759
ENSMUSG00000072722.3	ENSMUSG00000072722.3-I	Gm6588
